Week.ending,iliiso.tot
6/23/02,0.007543888
6/30/02,0.007963421
7/7/02,0.012678721
7/14/02,0.012787849
7/21/02,0.010005793
7/28/02,0.007980446
8/4/02,0.00812716
8/11/02,0.004650801
8/18/02,0.006464095
8/25/02,0.004780051
9/1/02,0.002891857
9/8/02,0.003509786
9/15/02,0.002342221
9/22/02,0.001263042
9/29/02,0.001050771
10/6/02,0.001666566
10/13/02,0.000542719
10/20/02,0.002087925
10/27/02,0.001911974
11/3/02,0.000985908
11/10/02,0.001442013
11/17/02,0
11/24/02,0.00124946
12/1/02,0.001597252
12/8/02,0.001979213
12/15/02,0.002598672
12/22/02,0.005200233
12/29/02,0.00441053
1/5/03,0.006647557
1/12/03,0.006723296
1/19/03,0.014782339
1/26/03,0.0154056
2/2/03,0.011168091
2/9/03,0.0157467
2/16/03,0.01203871
2/23/03,0.01711429
3/2/03,0.012842736
3/9/03,0.014592149
3/16/03,0.012143615
3/23/03,0.007715195
3/30/03,0.00580691
4/6/03,0.002328068
4/13/03,0.001132207
4/20/03,0.000404575
4/27/03,0.000808369
5/4/03,6.31E-05
5/11/03,0.000163358
5/18/03,0.000230052
5/25/03,0.000323284
6/1/03,0.000932395
6/8/03,0.000647319
6/15/03,0.000322868
6/22/03,0.001698819
6/29/03,0.002881154
7/6/03,0.006774779
7/13/03,0.002595351
7/20/03,0.004731335
7/27/03,0.002928289
8/3/03,0.003389939
8/10/03,0.003167291
8/17/03,0.002276569
8/24/03,0.004610528
8/31/03,0.001917341
9/7/03,0.003828411
9/14/03,0.002671716
9/21/03,0.003241341
9/28/03,0.002462764
10/5/03,0.001948916
10/12/03,0.001339477
10/19/03,0.001962324
10/26/03,0.001342599
11/2/03,0.000486551
11/9/03,0.000332766
11/16/03,0
11/23/03,0.000693481
11/30/03,0
12/7/03,0.000968759
12/14/03,0.000405542
12/21/03,0.000583435
12/28/03,0.000435826
1/4/04,0.001620129
1/11/04,0.000754107
1/18/04,0.001696776
1/25/04,0.00162411
2/1/04,0.000919364
2/8/04,0.002723686
2/15/04,0.008368313
2/22/04,0.010480959
2/29/04,0.011027537
3/7/04,0.014326887
3/14/04,0.014293614
3/21/04,0.014992484
3/28/04,0.014152115
4/4/04,0.012747702
4/11/04,0.013720831
4/18/04,0.007550426
4/25/04,0.011090667
5/2/04,0.008679141
5/9/04,0.008021968
5/16/04,0.008378769
5/23/04,0.00970892
5/30/04,0.00624907
6/6/04,0.009488385
6/13/04,0.00897763
6/20/04,0.00637694
6/27/04,0.009985872
7/4/04,0.007693119
7/11/04,0.015534499
7/18/04,0.017428375
7/25/04,0.019248582
8/1/04,0.015637536
8/8/04,0.0119422
8/15/04,0.009525456
8/22/04,0.010757328
8/29/04,0.008022
9/5/04,0.006616197
9/12/04,0.004900224
9/19/04,0.0073822
9/26/04,0.003521755
10/3/04,0.001788791
10/10/04,0.001192445
10/17/04,0.001071614
10/24/04,0.000702247
10/31/04,0.000389104
11/7/04,0.000324492
11/14/04,0.000418021
11/21/04,0.000145829
11/28/04,0.000693093
12/5/04,0.000730813
12/12/04,0.00024489
12/19/04,0.000378464
12/26/04,0.000772647
1/2/05,0.000538209
1/9/05,0.001064484
1/16/05,0.00144309
1/23/05,0.001685471
1/30/05,0.003325363
2/6/05,0.004795255
2/13/05,0.004199706
2/20/05,0.003765028
2/27/05,0.005890886
3/6/05,0.011204856
3/13/05,0.019687675
3/20/05,0.027029698
3/27/05,0.021100367
4/3/05,0.019164914
4/10/05,0.013365241
4/17/05,0.016284922
4/24/05,0.012999775
5/1/05,0.016885488
5/8/05,0.022203705
5/15/05,0.026888475
5/22/05,0.031109882
5/29/05,0.036729818
6/5/05,0.03227683
6/12/05,0.021345568
6/19/05,0.013680634
6/26/05,0.009160813
7/3/05,0.006995912
7/10/05,0.007613564
7/17/05,0.002539175
7/24/05,0.002864603
7/31/05,0.001435682
8/7/05,0.001072855
8/14/05,0.001154327
8/21/05,0.001079912
8/28/05,0.002211635
9/4/05,0.000968812
9/11/05,0.001262311
9/18/05,0.000818976
9/25/05,0.000866824
10/2/05,0.00099319
10/9/05,0.00057991
10/16/05,0.000389778
10/23/05,0.000510601
10/30/05,0.000269852
11/6/05,0.000389399
11/13/05,0.000628634
11/20/05,0.000874845
11/27/05,0.000279772
12/4/05,0.000728672
12/11/05,0.000480425
12/18/05,0.000643161
12/25/05,0.001427533
1/1/06,0.003333244
1/8/06,0.003542562
1/15/06,0.004603179
1/22/06,0.00720016
1/29/06,0.006938018
2/5/06,0.006051308
2/12/06,0.008928344
2/19/06,0.009627668
2/26/06,0.012455351
3/5/06,0.011408806
3/12/06,0.014258751
3/19/06,0.011350498
3/26/06,0.008791236
4/2/06,0.007198235
4/9/06,0.005109841
4/16/06,0.003924561
4/23/06,0.003374384
4/30/06,0.003418032
5/7/06,0.004445303
5/14/06,0.004224273
5/21/06,0.00556347
5/28/06,0.00542167
6/4/06,0.006462477
6/11/06,0.01112449
6/18/06,0.017448298
6/25/06,0.018361585
7/2/06,0.018069094
7/9/06,0.010960295
7/16/06,0.009045456
7/23/06,0.007034197
7/30/06,0.004146121
8/6/06,0.003294887
8/13/06,0.002456259
8/20/06,0.001562523
8/27/06,0.00102417
9/3/06,0.000844949
9/10/06,0.002115614
9/17/06,0.001607939
9/24/06,0.002963317
10/1/06,0.001253044
10/8/06,0.000914351
10/15/06,0.00064738
10/22/06,0.000345673
10/29/06,0.000259321
11/5/06,0
11/12/06,0.000131039
11/19/06,5.15E-05
11/26/06,0.0001311
12/3/06,0.000183378
12/10/06,0.000556561
12/17/06,0.000411851
12/24/06,0.000568795
12/31/06,0.000778621
1/7/07,0.001089057
1/14/07,0.002912542
1/21/07,0.004344289
1/28/07,0.005772363
2/4/07,0.009056473
2/11/07,0.010303634
2/18/07,0.013624906
2/25/07,0.015144176
3/4/07,0.01555226
3/11/07,0.017590247
3/18/07,0.018768546
3/25/07,0.012938728
4/1/07,0.010652875
4/8/07,0.011222224
4/15/07,0.007597483
4/22/07,0.005217871
4/29/07,0.006484026
5/6/07,0.006340874
5/13/07,0.006549636
5/20/07,0.003919404
5/27/07,0.005027668
6/3/07,0.00441921
6/10/07,0.00738885
6/17/07,0.011368134
6/24/07,0.021952289
7/1/07,0.022245896
7/8/07,0.027063392
7/15/07,0.024700287
7/22/07,0.011288289
7/29/07,0.008281274
8/5/07,0.005457119
8/12/07,0.003163228
8/19/07,0.002212767
8/26/07,0.003200104
9/2/07,0.004002744
9/9/07,0.003142478
9/16/07,0.002704464
9/23/07,0.002133165
9/30/07,0.002021853
10/7/07,0.003346737
10/14/07,0.001698188
10/21/07,0.001132311
10/28/07,0.000540345
11/4/07,0.001062154
11/11/07,0.00037912
11/18/07,0.000173293
11/25/07,0.000262066
12/2/07,0.00025513
12/9/07,0.000601758
12/16/07,0.000594867
12/23/07,0.00189513
12/30/07,0.001359683
1/6/08,0.001691457
1/13/08,0.002219099
1/20/08,0.002699671
1/27/08,0.005475154
2/3/08,0.004489992
2/10/08,0.004692161
2/17/08,0.005637164
2/24/08,0.010002622
3/2/08,0.011427397
3/9/08,0.02006233
3/16/08,0.019558246
3/23/08,0.009601594
3/30/08,0.005384642
4/6/08,0.003627378
4/13/08,0.00347492
4/20/08,0.003515595
4/27/08,0.003296053
5/4/08,0.002355244
5/11/08,0.002230278
5/18/08,0.001692958
5/25/08,0.002332606
6/1/08,0.001676053
6/8/08,0.002039488
6/15/08,0.002441893
6/22/08,0.00264683
6/29/08,0.003987255
7/6/08,0.003750305
7/13/08,0.005514207
7/20/08,0.011670769
7/27/08,0.012974807
8/3/08,0.012889497
8/10/08,0.008370246
8/17/08,0.005817335
8/24/08,0.00608103
8/31/08,0.004033282
9/7/08,0.003943142
9/14/08,0.002682646
